id	title	status	official_url	pdf_url	filename
R01	A Comprehensive Survey on 3D Content Generation	arXiv 2024	https://arxiv.org/abs/2402.01166	https://arxiv.org/pdf/2402.01166	R01_A_Comprehensive_Survey_on_3D_Content_Generation.pdf
R02	From Visual Synthesis to Interactive Worlds: Toward Production-Ready 3D Asset Generation	arXiv 2026 preprint	https://arxiv.org/abs/2604.23629	https://arxiv.org/pdf/2604.23629	R02_Production_Ready_3D_Asset_Generation_Survey.pdf
R03	Objaverse-XL: A Universe of 10M+ 3D Objects	arXiv 2023	https://arxiv.org/abs/2307.05663	https://arxiv.org/pdf/2307.05663	R03_Objaverse_XL.pdf
R04	T3Bench: Benchmarking Current Progress in Text-to-3D Generation	arXiv 2023	https://arxiv.org/abs/2310.02977	https://arxiv.org/pdf/2310.02977	R04_T3Bench.pdf
R05	3DGen-Bench: Comprehensive Benchmark Suite for 3D Generative Models	arXiv 2025 preprint	https://arxiv.org/abs/2503.21745	https://arxiv.org/pdf/2503.21745	R05_3DGen_Bench.pdf
R06	HY3D-Bench: Generation of 3D Assets	arXiv 2026 preprint	https://arxiv.org/abs/2602.03907	https://arxiv.org/pdf/2602.03907	R06_HY3D_Bench.pdf
R07	P3D-Bench: Benchmarking MLLMs for Parametric 3D Generation and Structural Reasoning	arXiv 2026 preprint	https://arxiv.org/abs/2606.11152	https://arxiv.org/pdf/2606.11152	R07_P3D_Bench.pdf
R08	DreamFusion: Text-to-3D using 2D Diffusion	arXiv 2022	https://arxiv.org/abs/2209.14988	https://arxiv.org/pdf/2209.14988	R08_DreamFusion.pdf
R09	Meta 3D AssetGen: Text-to-Mesh Generation with High-Quality Geometry, Texture, and PBR Materials	arXiv 2024	https://arxiv.org/abs/2407.02445	https://arxiv.org/pdf/2407.02445	R09_Meta_3D_AssetGen.pdf
R10	Structured 3D Latents for Scalable and Versatile 3D Generation	CVPR 2025	https://openaccess.thecvf.com/content/CVPR2025/html/Xiang_Structured_3D_Latents_for_Scalable_and_Versatile_3D_Generation_CVPR_2025_paper.html	https://openaccess.thecvf.com/content/CVPR2025/papers/Xiang_Structured_3D_Latents_for_Scalable_and_Versatile_3D_Generation_CVPR_2025_paper.pdf	R10_TRELLIS_Structured_3D_Latents.pdf
R11	Hunyuan3D 2.0: Scaling Diffusion Models for High Resolution Textured 3D Assets Generation	arXiv 2025	https://arxiv.org/abs/2501.12202	https://arxiv.org/pdf/2501.12202	R11_Hunyuan3D_2_0.pdf
R12	TripoSG: High-Fidelity 3D Shape Synthesis using Large-Scale Rectified Flow Models	arXiv 2025	https://arxiv.org/abs/2502.06608	https://arxiv.org/pdf/2502.06608	R12_TripoSG.pdf
R13	Step1X-3D: Towards High-Fidelity and Controllable Generation of Textured 3D Assets	arXiv 2025	https://arxiv.org/abs/2505.07747	https://arxiv.org/pdf/2505.07747	R13_Step1X_3D.pdf
R14	MeshGen: Generating PBR Textured Mesh with Render-Enhanced Auto-Encoder and Generative Data Augmentation	CVPR 2025	https://openaccess.thecvf.com/content/CVPR2025/html/Chen_MeshGen_Generating_PBR_Textured_Mesh_with_Render-Enhanced_Auto-Encoder_and_Generative_CVPR_2025_paper.html	https://openaccess.thecvf.com/content/CVPR2025/papers/Chen_MeshGen_Generating_PBR_Textured_Mesh_with_Render-Enhanced_Auto-Encoder_and_Generative_CVPR_2025_paper.pdf	R14_MeshGen.pdf
R15	PartGen: Part-level 3D Generation and Reconstruction with Multi-view Diffusion Models	CVPR 2025	https://openaccess.thecvf.com/content/CVPR2025/html/Chen_PartGen_Part-level_3D_Generation_and_Reconstruction_with_Multi-view_Diffusion_Models_CVPR_2025_paper.html	https://openaccess.thecvf.com/content/CVPR2025/papers/Chen_PartGen_Part-level_3D_Generation_and_Reconstruction_with_Multi-view_Diffusion_Models_CVPR_2025_paper.pdf	R15_PartGen.pdf
R16	MeshArt: Generating Articulated Meshes with Structure-Guided Transformers	CVPR 2025	https://openaccess.thecvf.com/content/CVPR2025/html/Gao_MeshArt_Generating_Articulated_Meshes_with_Structure-Guided_Transformers_CVPR_2025_paper.html	https://openaccess.thecvf.com/content/CVPR2025/papers/Gao_MeshArt_Generating_Articulated_Meshes_with_Structure-Guided_Transformers_CVPR_2025_paper.pdf	R16_MeshArt.pdf
R17	Hunyuan3D 2.5: Towards High-Fidelity 3D Assets Generation with Ultimate Details	arXiv 2025	https://arxiv.org/abs/2506.16504	https://arxiv.org/pdf/2506.16504	R17_Hunyuan3D_2_5.pdf
